feed_name,entity_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,current_stop_sequence,current_status,stop_id,timestamp_unix,timestamp_readable,vehicle_id,vehicle_label,latitude,longitude,bearing,odometer,speed,congestion_level,occupancy_status
1234567S,000002,125150_1..N03R,1,0,,20260512,0,37,1,103N,1778636939,2026-05-12 18:48:59,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000004,125450_1..S03R,1,0,,20260512,0,38,1,142S,1778636956,2026-05-12 18:49:16,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000006,125600_1..N03R,1,0,,20260512,0,36,1,104N,1778636947,2026-05-12 18:49:07,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000008,125950_1..S03R,1,0,,20260512,0,37,2,139S,1778636971,2026-05-12 18:49:31,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000010,126050_1..N14R,1,0,,20260512,0,34,1,107N,1778636950,2026-05-12 18:49:10,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000012,126500_1..N03R,1,0,,20260512,0,30,1,111N,1778636970,2026-05-12 18:49:30,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000014,126550_1..S03R,1,0,,20260512,0,30,1,132S,1778636945,2026-05-12 18:49:05,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000016,126950_1..N03R,1,0,,20260512,0,26,1,115N,1778636928,2026-05-12 18:48:48,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000018,127150_1..S03R,1,0,,20260512,0,26,2,128S,1778636970,2026-05-12 18:49:30,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000020,127400_1..N03R,1,0,,20260512,0,25,1,116N,1778636948,2026-05-12 18:49:08,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000022,127700_1..S03R,1,0,,20260512,0,22,1,124S,1778636950,2026-05-12 18:49:10,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000024,127850_1..N03R,1,0,,20260512,0,22,1,119N,1778636969,2026-05-12 18:49:29,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000026,128300_1..N03R,1,0,,20260512,0,20,0,121N,1778636942,2026-05-12 18:49:02,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000028,128350_1..S03R,1,0,,20260512,0,18,1,120S,1778636924,2026-05-12 18:48:44,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000030,128750_1..N03R,1,0,,20260512,0,17,0,124N,1778636966,2026-05-12 18:49:26,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000032,128950_1..S03R,1,0,,20260512,0,15,2,117S,1778636965,2026-05-12 18:49:25,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000034,129200_1..N03R,1,0,,20260512,0,14,0,127N,1778636971,2026-05-12 18:49:31,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000036,129500_1..S03R,1,0,,20260512,0,11,1,113S,1778636960,2026-05-12 18:49:20,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000038,129700_1..N03R,1,0,,20260512,0,11,1,130N,1778636964,2026-05-12 18:49:24,,,0.0,0.0,0.0,0.0,0.0,0,0
